"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"3427","Collins Spanish Dictionary & Grammar Essential edition","Collins Dictionaries","HarperCollins Publishers",NA,4,1,800,"Paperback","https://www.bookdepository.com/es/Collins-Spanish-Dictionary-Grammar-Essential-edition-Collins-Dictionaries/9780007382378?ref=grid-view"
"3428","Harry Potter y las Reliquias de la Muerte","J K Rowling","Salamandra",NA,4.62,2850429,638,"Hardback","https://www.bookdepository.com/es/Harry-Potter-y-las-Reliquias-de-la-Muerte-J-K-Rowling/9788498381450?ref=grid-view"
"3429","La Historia Interminable","Michael Ende","Punto de Lectura, S.L.",NA,4.16,170345,509,"Paperback","https://www.bookdepository.com/es/La-Historia-Interminable-Michael-Ende/9788466318303?ref=grid-view"
"3430","Asterix in Spanish","Albert Uderzo","Salvat, S.A de Ediciones",NA,3.26,2949,47,"Hardback","https://www.bookdepository.com/es/Asterix-Spanish-Albert-Uderzo/9788434504011?ref=grid-view"
"3431","Harry Potter Y La Orden Del Fenix","J. K. Rowling","Publicaciones y Ediciones Salamandra, S.A.",NA,4.5,2550010,893,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-La-Orden-Del-Fenix-J-K-Rowling/9788478888849?ref=grid-view"
"3432","Wolfgang Amadeus Mozart","Autores Varios","Combel Ediciones Editorial Esin, S.A.",NA,3.9,10,24,"Hardback","https://www.bookdepository.com/es/Wolfgang-Amadeus-Mozart-Autores-Varios/9788478649587?ref=grid-view"
"3433","Tom Gates","Liz Pichon","BRUNO",NA,4.49,4995,410,"Paperback","https://www.bookdepository.com/es/Tom-Gates-Liz-Pichon/9788421688144?ref=grid-view"
"3434","First Thousand Words in Spanish","Heather Amery","Usborne Books",NA,4.08,101,64,"Hardback","https://www.bookdepository.com/es/First-Thousand-Words-Spanish-Heather-Amery/9780794502843?ref=grid-view"
"3435","My First English-Spanish Word Book/Mi Primer Libro de Palabras En Ingles-Espanol","Minerva Books","Minerva Books, Ltd.",NA,0,0,32,"Paperback","https://www.bookdepository.com/es/My-First-English-Spanish-Word-Book-Mi-Primer-Libro-de-Palabras-En-Ingles-Espanol-Minerva-Books/9780805656039?ref=grid-view"
"3436","The University of Chicago Spanish-English Dictionary, Fifth Edition","David A. Pharies","SIMON & SCHUSTER",NA,3.85,137,608,"Paperback","https://www.bookdepository.com/es/University-Chicago-Spanish-English-Dictionary-Fifth-Edition-David-Pharies/9780743470131?ref=grid-view"
"3437","?Que Hay? Cuaderno 2","Christine Haylett","Oxford University Press",NA,4,3,64,"Spiral bound","https://www.bookdepository.com/es/Que-Hay-Cuaderno-2-Christine-Haylett/9780748799534?ref=grid-view"
"3438","The New Adventures of Pippi Longstocking","Tami Erin","Sony Pictures Home Ent",NA,3.5,6,NA,"DVD video","https://www.bookdepository.com/es/New-Adventures-Pippi-Longstocking-Tami-Erin/9780767861403?ref=grid-view"
"3439","Eternidad","Alyson Noel","Vintage Espanol",NA,3.59,266955,371,"Paperback","https://www.bookdepository.com/es/Eternidad-Alyson-Noel/9780307741158?ref=grid-view"
"3440","Las Hadas del Arco Iris: Azafran, El Hada Amarilla (Sunny the Yellow Fairy)","Daisy Meadows","Scholastic en Espanol",NA,3.85,2786,67,"Paperback","https://www.bookdepository.com/es/Las-Hadas-del-Arco-Iris-Azafran-El-Hada-Amarilla-Sunny-Yellow-Fairy-Daisy-Meadows/9780545154055?ref=grid-view"
"3441","Fairy Tales: Three Billy-Goats Activity Book","Cathy Lawday","Oxford University Press",NA,0,0,32,"Paperback","https://www.bookdepository.com/es/Fairy-Tales-Three-Billy-Goats-Activity-Book-Cathy-Lawday/9780194593236?ref=grid-view"
"3442","Campos de fresas","Jordi Sierra i Fabra","Ediciones SM",NA,0,0,157,"Paperback","https://www.bookdepository.com/es/Campos-de-fresas-Jordi-Sierra-i-Fabra/9788467574401?ref=grid-view"
"3443","Harry Potter - Spanish","J K Rowling","Publicaciones y Ediciones Salamandra, S.A.",NA,4.57,2860398,353,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Spanish-J-K-Rowling/9788498386332?ref=grid-view"
"3444","Companeros 2","Ignacio Rodero Diez","Sociedad General Española de Librería",NA,0,0,136,"Mixed media product","https://www.bookdepository.com/es/Companeros-2-Ignacio-Rodero-Diez/9788497784344?ref=grid-view"
"3445","Yotsuba! 2","Kiyohiko Azuma","Independent Pub Group",NA,4.5,5064,187,"Paperback","https://www.bookdepository.com/es/Yotsuba-2-Kiyohiko-Azuma/9788498141863?ref=grid-view"
"3446","Los Hijos de Anansi","Neil Gaiman","Roca Editorial",NA,4.02,197018,379,"Paperback","https://www.bookdepository.com/es/Los-Hijos-de-Anansi-Neil-Gaiman/9788496940055?ref=grid-view"
"3447","Leer en Espanol - lecturas graduadas","Óscar Tosal","Español Santillana Universidad de Salamanca",NA,3.48,23,80,"Mixed media product","https://www.bookdepository.com/es/Leer-en-Espanol-lecturas-graduadas-Óscar-Tosal/9788497130615?ref=grid-view"
"3448","Mujercitas","Louisa Alcott","DEBOLSILLO",NA,4.09,1703816,760,"Paperback","https://www.bookdepository.com/es/Mujercitas-Louisa-Alcott/9788499083537?ref=grid-view"
"3449","Blacksad, 2","Juan Diaz Canales","Independent Pub Group",NA,4.36,3843,56,"Paperback","https://www.bookdepository.com/es/Blacksad-2-Juan-Diaz-Canales/9788484317326?ref=grid-view"
"3450","Ejercicios de Estilo","Raymond Queneau","Ediciones Catedra S.A.",NA,4.08,8691,162,"Paperback","https://www.bookdepository.com/es/Ejercicios-de-Estilo-Raymond-Queneau/9788437606750?ref=grid-view"
"3451","Himnos a la Noche - Enrique de Ofterdingen","Novalis","Ediciones Catedra S.A.",NA,3.81,125,295,"Paperback","https://www.bookdepository.com/es/Himnos-la-Noche-Enrique-de-Ofterdingen-Novalis/9788437610542?ref=grid-view"
"3452","Enid Blyton in Spanish","Enid Blyton","Editorial Juventud S.A.",NA,3.98,9556,160,"Paperback","https://www.bookdepository.com/es/Enid-Blyton-Spanish-Enid-Blyton/9788426108333?ref=grid-view"
"3453","Las aventuras de Tintin","Herge","Editorial Juventud S.A.",NA,4.06,11166,62,"Hardback","https://www.bookdepository.com/es/Las-aventuras-de-Tintin-Herge/9788426109262?ref=grid-view"
"3454","Las lagrimas de Shiva","César Mallorquí","Edebé",NA,3.78,2003,237,"Paperback","https://www.bookdepository.com/es/Las-lagrimas-de-Shiva-César-Mallorquí/9788423675104?ref=grid-view"
"3455","Crescendo (Hush, Hush 2a Parte)","Becca Fitzpatrick","Ediciones B",NA,4.03,279455,400,"Paperback","https://www.bookdepository.com/es/Crescendo-Hush-Hush-2a-Parte-Becca-Fitzpatrick/9788466646390?ref=grid-view"
"3456","La Emperatriz de los Etereos","Laura Gallego Garcia","Suma de Letras",NA,3.8,7710,287,"Paperback","https://www.bookdepository.com/es/La-Emperatriz-de-los-Etereos-Laura-Gallego-Garcia/9788466322652?ref=grid-view"
"3457","Cuentos y leyendas de Japon/ Tales and Legends of Japan","Amparo Takahashi","Grupo Anaya Comercial",NA,4.53,15,159,"Paperback","https://www.bookdepository.com/es/Cuentos-y-leyendas-de-Japon-Tales-Legends-Japan-Amparo-Takahashi/9788466784542?ref=grid-view"
"3458","Fray Perico y su borrico","Juan Muñoz Martín","Ediciones SM",NA,3.89,1112,128,"Paperback","https://www.bookdepository.com/es/Fray-Perico-y-su-borrico-Juan-Muñoz-Martín/9788434894099?ref=grid-view"
"3459","Danny el Campeon del Mundo","Roald Dahl","ALFAGUARA",NA,4.08,58433,195,"Paperback","https://www.bookdepository.com/es/Danny-el-Campeon-del-Mundo-Roald-Dahl/9789681910136?ref=grid-view"
"3460","Memorias de Idhun.","Laura Gallego Garcia","Ediciones SM",NA,4.21,631,205,"Paperback","https://www.bookdepository.com/es/Memorias-de-Idhun-Laura-Gallego-Garcia/9788467535945?ref=grid-view"
"3461","La Casa Del Bosque / Little House in the Big Woods","Laura Ingalls Wilder","Lectorum Pubns",NA,4.17,236267,150,"Paperback","https://www.bookdepository.com/es/La-Casa-Del-Bosque-Little-House-Big-Woods-Laura-Ingalls-Wilder/9788427901087?ref=grid-view"
"3462","La Pequena Ciudad de la Pradera","Laura Ingalls Wilder","NOGUER",NA,4.17,82150,208,"Paperback","https://www.bookdepository.com/es/La-Pequena-Ciudad-de-la-Pradera-Laura-Ingalls-Wilder/9788427932357?ref=grid-view"
"3463","Mafalda 8","Quino","Distribooks",NA,4.64,64,94,"Paperback","https://www.bookdepository.com/es/Mafalda-8-Quino/9788426445087?ref=grid-view"
"3464","Mafalda 10","Quino","Distribooks",NA,4.58,62,92,"Paperback","https://www.bookdepository.com/es/Mafalda-10-Quino/9788426445100?ref=grid-view"
"3465","Eclipse","Stephenie Meyer","PUNTO DE LECTURA",NA,3.7,1444766,636,"Paperback","https://www.bookdepository.com/es/Eclipse-Stephenie-Meyer/9781616050931?ref=grid-view"
"3466","!Mola! GCSE Spanish","Judith O'hare","HODDER EDUCATION",NA,3,1,208,"Paperback","https://www.bookdepository.com/es/Mola-GCSE-Spanish-Judith-Ohare/9781844896233?ref=grid-view"
"3467","Finnikin de La Roca","Melina Marchetta","Molino Rba",NA,3.87,44981,480,"Paperback","https://www.bookdepository.com/es/Finnikin-de-La-Roca-Melina-Marchetta/9788427201866?ref=grid-view"
"3468","A Orillas del rio plum / On the Banks of Plum Creek","Laura Ingalls Wilder","Lectorum Pubns",NA,4.2,91874,268,"Paperback","https://www.bookdepository.com/es/Orillas-del-rio-plum-On-Banks-Plum-Creek-Laura-Ingalls-Wilder/9788427901377?ref=grid-view"
