"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"1","Misty. Finding Love","Joss Stirling","V&R Ediciones",14648,4.2,4233,384,"Paperback","https://www.bookdepository.com/es/Misty-Finding-Love-Joss-Stirling/9789876129398?ref=grid-view"
"2","Mirando al mar","Eva Moreno Villalba","Createspace Independent Publishing Platform",9644,5,1,106,"Paperback","https://www.bookdepository.com/es/Mirando-al-mar-Eva-Moreno-Villalba/9781530591053?ref=grid-view"
"3","Arturo, Krazy Eye y Screecher Juegan al Minigolf","Chris Buckland","Createspace Independent Publishing Platform",8811,0,0,34,"Paperback","https://www.bookdepository.com/es/Arturo-Krazy-Eye-y-Screecher-Juegan-al-Minigolf-Chris-Buckland/9781530602506?ref=grid-view"
"4","El Cuervo","Edgar Allan Poe","Createspace Independent Publishing Platform",8534,4.29,103089,26,"Paperback","https://www.bookdepository.com/es/El-Cuervo-Edgar-Allan-Poe/9781530870448?ref=grid-view"
"5","Los Cinco de Vivienda Justa y la casa embrujada","Greater New Fair Housing Action Center","Createspace Independent Publishing Platform",16396,0,0,36,"Paperback","https://www.bookdepository.com/es/Los-Cinco-de-Vivienda-Justa-y-la-casa-embrujada-Greater-New-Fair-Housing-Action-Center/9781530729647?ref=grid-view"
"6","Quien Fue Robert E. Lee?","Bonnie Bader","Turtleback Books",16182,4.04,243,112,"Hardback","https://www.bookdepository.com/es/Quien-Fue-Robert-E-Lee-Bonnie-Bader/9780606380409?ref=grid-view"
"7","La embajadora de la luna","Aly Valdez Jr","Editoriales 11",12851,0,0,30,"Paperback","https://www.bookdepository.com/es/La-embajadora-de-la-luna-Aly-Valdez-Jr/9780692251362?ref=grid-view"
"8","Que Fue La Expedicion de Lewis y Clark?","Judith St George","Loqueleo",12136,4.33,3,102,"Paperback","https://www.bookdepository.com/es/Que-Fue-La-Expedicion-de-Lewis-y-Clark-Judith-St-George/9781631134159?ref=grid-view"
"9","Que Fue La Marcha de Washington?","Kathleen Krull","Loqueleo",12136,4.18,313,103,"Paperback","https://www.bookdepository.com/es/Que-Fue-La-Marcha-de-Washington-Kathleen-Krull/9781631134166?ref=grid-view"
"10","Que Fue La Batalla de Gettysburg?","Jim O'Connor","Loqueleo",12136,4.19,562,105,"Paperback","https://www.bookdepository.com/es/Que-Fue-La-Batalla-de-Gettysburg-Jim-OConnor/9781631134104?ref=grid-view"
"11","La Sombra del Secretario","Francisco Garcia Pimentel Ruiz","Createspace Independent Publishing Platform",16125,4,1,216,"Paperback","https://www.bookdepository.com/es/La-Sombra-del-Secretario-Francisco-Garcia-Pimentel-Ruiz/9781516997978?ref=grid-view"
"12","Lucy y Los Ladrones del Banco","Mary Jane Driscoll","Createspace Independent Publishing Platform",11732,0,0,32,"Paperback","https://www.bookdepository.com/es/Lucy-y-Los-Ladrones-del-Banco-Mary-Jane-Driscoll/9781518825620?ref=grid-view"
"13","Mariposas en la luna","Alejandra Sazo","Createspace Independent Publishing Platform",9328,1,1,108,"Paperback","https://www.bookdepository.com/es/Mariposas-en-la-luna-Alejandra-Sazo/9781523616589?ref=grid-view"
"14","Roundy and Friends - Washington DC","Andres Varela","Soccertowns LLC",21882,3.25,4,40,"Hardback","https://www.bookdepository.com/es/Roundy-Friends-Washington-DC-Andres-Varela/9780986358449?ref=grid-view"
"15","El ano que llego antes","Vidal M Ostariz","Createspace Independent Publishing Platform",12854,0,0,128,"Paperback","https://www.bookdepository.com/es/El-ano-que-llego-antes-Vidal-M-Ostariz/9781522805618?ref=grid-view"
"16","Ensename a volar.","Judit García","Createspace Independent Publishing Platform",13904,0,0,214,"Paperback","https://www.bookdepository.com/es/Ensename-volar-Judit-García/9781522821526?ref=grid-view"
"17","El Viaje de SueNos de Ricky a la America Colonial","William Stevenson","Micro Publishing Media",12851,0,0,30,"Paperback","https://www.bookdepository.com/es/El-Viaje-de-SueNos-de-Ricky-la-America-Colonial-William-Stevenson/9781944068073?ref=grid-view"
"18","Nini","Angel Lozano","Createspace Independent Publishing Platform",15010,0,0,236,"Paperback","https://www.bookdepository.com/es/Nini-Angel-Lozano/9781518679179?ref=grid-view"
"19","La Maldicion de Cuervo Loco","Lilian Wallaby","B DE BLOCK",14252,0,0,112,"Paperback","https://www.bookdepository.com/es/La-Maldicion-de-Cuervo-Loco-Lilian-Wallaby/9788416075843?ref=grid-view"
"20","Quien Fue Alexander Graham Bell?","Bonnie Bader","Loqueleo",11422,4.14,415,103,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Alexander-Graham-Bell-Bonnie-Bader/9781631134197?ref=grid-view"
"21","Inframundo (Guardianes Del Alma Libro 4)","Kim Richardson","Createspace Independent Publishing Platform",14516,4.14,1114,242,"Paperback","https://www.bookdepository.com/es/Inframundo-Guardianes-Del-Alma-Libro-4-Kim-Richardson/9781518810473?ref=grid-view"
"22","Mama the Alien / Mama La Extraterrestre","Rene Colato Lainez","Children's Book Press (CA)",18143,4.03,99,32,"Hardback","https://www.bookdepository.com/es/Mama-Alien-Mama-La-Extraterrestre-Rene-Colato-Lainez/9780892392988?ref=grid-view"
"23","Elemental","Fabiola R Castillo","Createspace Independent Publishing Platform",31973,0,0,584,"Paperback","https://www.bookdepository.com/es/Elemental-Fabiola-R-Castillo/9781514158265?ref=grid-view"
"24","El Nino Volador 5 (libro ilustrado)","Amy Potter","Createspace Independent Publishing Platform",8723,4.53,55,42,"Paperback","https://www.bookdepository.com/es/El-Nino-Volador-5-libro-ilustrado-Amy-Potter/9781514262054?ref=grid-view"
"25","El Regalo","Carlos M Valverde","Coffee Seed Books",11156,5,4,30,"Paperback","https://www.bookdepository.com/es/El-Regalo-Carlos-M-Valverde/9781943718016?ref=grid-view"
"26","El regalo","Carlos M Valverde","Coffee Seed Books",16425,5,4,30,"Hardback","https://www.bookdepository.com/es/El-regalo-Carlos-M-Valverde/9781943718030?ref=grid-view"
"27","Jovenes Rebeldes (I)","Joaquin Fernandez","Createspace Independent Publishing Platform",19855,0,0,430,"Paperback","https://www.bookdepository.com/es/Jovenes-Rebeldes-I-Joaquin-Fernandez/9781519161994?ref=grid-view"
"28","Salto al vacio","Eva Latre","Createspace Independent Publishing Platform",21322,3.59,17,386,"Paperback","https://www.bookdepository.com/es/Salto-al-vacio-Eva-Latre/9781517587246?ref=grid-view"
"29","Ch'ang Hon Taekwon-Do Hae Sul","Stuart Paul Anslow","Checkpoint Press",35464,0,0,358,"Paperback","https://www.bookdepository.com/es/Chang-Hon-Taekwon-Do-Hae-Sul-Stuart-Paul-Anslow/9781906628710?ref=grid-view"
"30","Antes, Cuando Venecia No Existia","Victoria Perez-Escriva","Thule Ediciones",15342,0,0,192,"Paperback","https://www.bookdepository.com/es/Antes-Cuando-Venecia-No-Existia-Victoria-Perez-Escriva/9788415357834?ref=grid-view"
"31","Mi Bella Mariposa","Annette Crespo","Createspace Independent Publishing Platform",12119,1,1,34,"Paperback","https://www.bookdepository.com/es/Mi-Bella-Mariposa-Annette-Crespo/9781490424101?ref=grid-view"
"32","En aguas de Malena, la ballena","Luis Javier Plata Rosas","Createspace Independent Publishing Platform",10336,0,0,120,"Paperback","https://www.bookdepository.com/es/En-aguas-de-Malena-la-ballena-Luis-Javier-Plata-Rosas/9781502429841?ref=grid-view"
"33","Empleo del Ensilaje Biologico de Pescado En La Alimentacion Porcina","Milagros De Las Mercedes Marrero Luis","EAE Editorial Academia Espanola",24462,0,0,52,"Paperback","https://www.bookdepository.com/es/Empleo-del-Ensilaje-Biologico-de-Pescado-En-La-Alimentacion-Porcina-Milagros-De-Las-Mercedes-Marrero-Luis/9783659009693?ref=grid-view"
"34","Efectos del Saman Sobre El Pasto Estrella","N Stor Jos Sol Rzano Escalona","EAE Editorial Academia Espanola",31866,0,0,88,"Paperback","https://www.bookdepository.com/es/Efectos-del-Saman-Sobre-El-Pasto-Estrella-N-Stor-Jos-Sol-Rzano-Escalona/9783659005305?ref=grid-view"
"35","Los Zapatos Dorados","Adriana Ballesteros","Ediciones Aljibe, S.L.",16165,0,0,118,"Hardback","https://www.bookdepository.com/es/Los-Zapatos-Dorados-Adriana-Ballesteros/9788497007245?ref=grid-view"
"36","Vigilad las colas, caen meteoritos! / Watch Your Tail!","Geronimo Stilton","Lectorum Pubns",14301,4.21,630,122,"Paperback","https://www.bookdepository.com/es/Vigilad-las-colas-caen-meteoritos-Watch-Your-Tail-Geronimo-Stilton/9788408006671?ref=grid-view"
"37","Biocontrol de Marchitez Por Fusarium En Banano","Lvaro Caballero","EAE Editorial Academia Espanola",32259,0,0,104,"Paperback","https://www.bookdepository.com/es/Biocontrol-de-Marchitez-Por-Fusarium-En-Banano-Lvaro-Caballero/9783659020667?ref=grid-view"
"38","Manzanilla (Matricaria Recutita)","Ana Clara Moreno","EAE Editorial Academia Espanola",24462,0,0,52,"Paperback","https://www.bookdepository.com/es/Manzanilla-Matricaria-Recutita-Ana-Clara-Moreno/9783659006692?ref=grid-view"
"39","Los Cachorros Hip Hop Salvan el Centro Juvenil","J Lewis Publications","J. Lewis Publications",20985,0,0,34,"Hardback","https://www.bookdepository.com/es/Los-Cachorros-Hip-Hop-Salvan-el-Centro-Juvenil-J-Lewis-Publications/9780991414338?ref=grid-view"
"40","Villa Mucenka","Jorge Peñamedrano Carcedo","Createspace Independent Publishing Platform",21659,0,0,414,"Paperback","https://www.bookdepository.com/es/Villa-Mucenka-Jorge-Peñamedrano-Carcedo/9781502863225?ref=grid-view"
"41","El Producto VI","Jorge Peñamedrano Carcedo","Createspace Independent Publishing Platform",16941,0,0,248,"Paperback","https://www.bookdepository.com/es/El-Producto-VI-Jorge-Peñamedrano-Carcedo/9781502872548?ref=grid-view"
"42","La Hechicera. Cronicas de La Prehistoria IV","Michelle Paver","Salamandra",16606,4.33,9184,256,"Paperback","https://www.bookdepository.com/es/La-Hechicera-Cronicas-de-La-Prehistoria-IV-Michelle-Paver/9788498386172?ref=grid-view"
"43","Una y Otra Vez","Tamara Ireland Stone","Ediciones B",19255,3.95,3032,347,"Paperback","https://www.bookdepository.com/es/Una-y-Otra-Vez-Tamara-Ireland-Stone/9788416075294?ref=grid-view"
"44","Biblia un Dia a la Vez-NVI","Zondervan","Vida Publishers",28021,0,0,1304,"Paperback","https://www.bookdepository.com/es/Biblia-un-Dia-la-Vez-NVI-Zondervan/9780829766783?ref=grid-view"
"45","Snakes","J. Sheikh-Miller","Usborne Publishing Ltd",25674,4.36,22,64,"Paperback","https://www.bookdepository.com/es/Snakes-J-Sheikh-Miller/9780746041895?ref=grid-view"
"46","Puzzle Journey Through Time","Rebecca Heddle","Usborne Publishing Ltd",15493,3.82,11,32,"Paperback","https://www.bookdepository.com/es/Puzzle-Journey-Through-Time-Rebecca-Heddle/9780746016565?ref=grid-view"
"47","Roman Army","Varios Autores","Usborne Publishing Ltd",18268,3.79,14,48,"Paperback","https://www.bookdepository.com/es/Roman-Army-Varios-Autores/9780746052044?ref=grid-view"
"48","The Usborne Internet-linked First Dictionary","Jane M. Bingham","Usborne Publishing Ltd",37180,5,1,144,"Paperback","https://www.bookdepository.com/es/Usborne-Internet-linked-First-Dictionary-Jane-M-Bingham/9780746048795?ref=grid-view"
"49","Internet-linked Astronomy","R. Firth","Usborne Publishing Ltd",24401,4.17,6,48,"Paperback","https://www.bookdepository.com/es/Internet-linked-Astronomy-R-Firth/9780746056752?ref=grid-view"
"50","Ali Baba and the Forty Thieves","Katie Daynes","Usborne Publishing Ltd",19190,3.81,36,48,"Paperback","https://www.bookdepository.com/es/Ali-Baba-Forty-Thieves-Katie-Daynes/9780746057742?ref=grid-view"
"51","Making Magic Windows","Carmen Garza","Children's Book Press,U.S.",13268,4,28,64,"Paperback","https://www.bookdepository.com/es/Making-Magic-Windows-Carmen-Garza/9780892391592?ref=grid-view"
"52","Las Aventuras de Arthur Gordon Pym","Edgar Allan Poe","iUniverse",12909,3.53,8644,196,"Paperback","https://www.bookdepository.com/es/Las-Aventuras-de-Arthur-Gordon-Pym-Edgar-Allan-Poe/9780595139170?ref=grid-view"
"53","?Avancemos!","McDougal Littel","McDougal Littel",28340,0,0,392,"Paperback","https://www.bookdepository.com/es/Avancemos-McDougal-Littel/9780618782208?ref=grid-view"
"54","Las Aventuras de Marco Polo","Roger Smalley","Capstone Press",24518,3.64,36,32,"Hardback","https://www.bookdepository.com/es/Las-Aventuras-de-Marco-Polo-Roger-Smalley/9780736860543?ref=grid-view"
"55","El Viaje del Mayflower","Allison Lassieur","Capstone Press",20766,3.59,17,32,"Hardback","https://www.bookdepository.com/es/El-Viaje-del-Mayflower-Allison-Lassieur/9780736866132?ref=grid-view"
"56","La Maldicion de la Tumba del Faraon Tut","Michael Burgan","Capstone Press",9356,3.83,41,32,"Paperback","https://www.bookdepository.com/es/La-Maldicion-de-la-Tumba-del-Faraon-Tut-Michael-Burgan/9780736868679?ref=grid-view"
"57","Mi primer Te Quiero","Blanca Gonzalez Sanluis","Createspace Independent Publishing Platform",10906,0,0,148,"Paperback","https://www.bookdepository.com/es/Mi-primer-Te-Quiero-Blanca-Gonzalez-Sanluis/9781517445430?ref=grid-view"
"58","A Traicion/ Treacherously","Agustin Alonso Gutierrez","Editorial Editex",20642,2.33,3,199,"Paperback","https://www.bookdepository.com/es/Traicion-Treacherously-Agustin-Alonso-Gutierrez/9788497713078?ref=grid-view"
"59","El Club de Las Brujas","Carlos Zuriguel Perez","Ediciones Aljibe, S.L.",17702,4,1,40,"Paperback","https://www.bookdepository.com/es/El-Club-de-Las-Brujas-Carlos-Zuriguel-Perez/9788497006439?ref=grid-view"
"60","Que Miedo!","Carmen Gil Martinez","Ediciones Aljibe, S.L.",13537,0,0,51,"Paperback","https://www.bookdepository.com/es/Que-Miedo-Carmen-Gil-Martinez/9788497006446?ref=grid-view"
"61","El Secreto De Khadrell/khadrell's Secret","Pep Castellano","Panoplia Export S L",18384,0,0,128,"Paperback","https://www.bookdepository.com/es/El-Secreto-De-Khadrell-khadrells-Secret-Pep-Castellano/9788497950244?ref=grid-view"
"62","La Quimera del Oro","Laurence Gillot","Combel Ediciones Editorial Esin, S.A.",19615,4.33,3,52,"Hardback","https://www.bookdepository.com/es/La-Quimera-del-Oro-Laurence-Gillot/9788498253641?ref=grid-view"
"63","El Libro de Las Fabulas","Concha Cardenoso","Combel Ediciones Editorial Esin, S.A.",25192,3.86,7,156,"Hardback","https://www.bookdepository.com/es/El-Libro-de-Las-Fabulas-Concha-Cardenoso/9788498254990?ref=grid-view"
"64","El Sueno De Toulouse-lautrec/the Dream of Toulouse-lautrec","Alberto Urcaray","Panoplia Export S L",28519,0,0,36,"Hardback","https://www.bookdepository.com/es/El-Sueno-De-Toulouse-lautrec-Dream-Toulouse-lautrec-Alberto-Urcaray/9788497950565?ref=grid-view"
"65","Ana y La Sibila","Antonio Sanchez-Escalonilla","BAMBU",16981,3.33,97,304,"Hardback","https://www.bookdepository.com/es/Ana-y-La-Sibila-Antonio-Sanchez-Escalonilla/9788493482602?ref=grid-view"
"66","Los Hombres de Muchaca","Mariela Rodriguez","BAMBU",11625,2.94,16,157,"Paperback","https://www.bookdepository.com/es/Los-Hombres-de-Muchaca-Mariela-Rodriguez/9788493482619?ref=grid-view"
"67","Dragon Busca Princesa","Purificacion Menaya","BAMBU",11584,3.78,50,153,"Paperback","https://www.bookdepository.com/es/Dragon-Busca-Princesa-Purificacion-Menaya/9788493482640?ref=grid-view"
"68","Cuentos y Leyendas de Los Trumai","Claire Merleau-Ponty","Editorial Kókinos",29400,0,0,72,"Hardback","https://www.bookdepository.com/es/Cuentos-y-Leyendas-de-Los-Trumai-Claire-Merleau-Ponty/9788496629837?ref=grid-view"
"69","Cuentos y Leyendas de Los Maories","Claire Merleau-Ponty","Editorial Kókinos",29943,4,2,67,"Hardback","https://www.bookdepository.com/es/Cuentos-y-Leyendas-de-Los-Maories-Claire-Merleau-Ponty/9788496629820?ref=grid-view"
"70","La cruz del diablo/ The Devil's Cross","Gustavo Adolfo Becquer","Libros del Zorro Rojo",22383,3.59,122,34,"Hardback","https://www.bookdepository.com/es/La-cruz-del-diablo-Devils-Cross-Gustavo-Adolfo-Becquer/9788496509375?ref=grid-view"
"71","La cerveza del faraon/ The Pharaoh's Beer","Diego Agrimbau","Editorial Saure S L U",21649,2,1,48,"Hardback","https://www.bookdepository.com/es/La-cerveza-del-faraon-Pharaohs-Beer-Diego-Agrimbau/9788495225672?ref=grid-view"
"72","Aritz 1 El tesoro de Nayarit / The Treasure of Nayarit","Pello Gutierrez","Editorial Saure S L U",23608,0,0,48,"Hardback","https://www.bookdepository.com/es/Aritz-1-El-tesoro-de-Nayarit-Treasure-Nayarit-Pello-Gutierrez/9788495225368?ref=grid-view"
"73","Los babilonios/ The Babylonians","Martinez De Antonana","Editorial Saure S L U",22301,0,0,32,"Hardback","https://www.bookdepository.com/es/Los-babilonios-Babylonians-Martinez-De-Antonana/9788495225795?ref=grid-view"
"74","El viaje de las semillas/ The Seed's Journey","Joseba Gomez Gonzalez","Editorial Saure S L U",23766,3.67,6,48,"Hardback","https://www.bookdepository.com/es/El-viaje-de-las-semillas-Seeds-Journey-Joseba-Gomez-Gonzalez/9788495225832?ref=grid-view"
"75","Los fantasmas del palacio de Linares Book + CD","Manuel Rebollar Barro","Editorial Edinumen",14612,2.83,6,80,"Mixed media product","https://www.bookdepository.com/es/Los-fantasmas-del-palacio-de-Linares-Book-CD-Manuel-Rebollar-Barro/9788498482324?ref=grid-view"
