"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"1","El principito","Antoine de Saint-Exupery","Publicaciones y Ediciones Salamandra, S.A.",9212,4.31,1396114,96,"Paperback","https://www.bookdepository.com/es/El-principito-Antoine-de-Saint-Exupery/9788498381498?ref=grid-view"
"2","Trono de Cristal #1 / Throne of Glass #1","Sarah J Maas","Alfaguara Juvenil",20941,4.2,617582,528,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-1-Throne-Glass-1-Sarah-J-Maas/9786073143714?ref=grid-view"
"3","El Principito/ The Little Prince","Antoine de Saint-Exupery","Planeta Publishing",7788,4.31,1396114,109,"Paperback","https://www.bookdepository.com/es/El-Principito-Little-Prince-Antoine-de-Saint-Exupery/9789500426404?ref=grid-view"
"4","Trono de Cristal #3. Heredera del Fuego / Heir of Fire #3","Sarah J Mass","Alfaguara Juvenil",20690,4.47,292880,696,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-3-Heredera-del-Fuego-Heir-Fire-3-Sarah-J-Mass/9786073140683?ref=grid-view"
"5","El Principito (Spanish)","Antoine de Saint-Exupery","Cengage Learning, Inc",11946,4.31,1396114,96,"Paperback","https://www.bookdepository.com/es/El-Principito-Spanish-Antoine-de-Saint-Exupery/9780156013925?ref=grid-view"
"6","Spanish for Beginners","A Wilkes","Usborne Publishing Ltd",11642,3.78,74,48,"Paperback","https://www.bookdepository.com/es/Spanish-for-Beginners-Wilkes/9780746000588?ref=grid-view"
"7","El Ladron del Rayo/ The Lightning Thief","Rick Riordan","Salamandra Infantil y juvenil",13836,4.26,2028864,285,"Paperback","https://www.bookdepository.com/es/El-Ladron-del-Rayo-Lightning-Thief-Rick-Riordan/9788498386264?ref=grid-view"
"8","Harry Potter Y La Piedra Filosofal / Harry Potter and the Sorcerer's Stone","J K Rowling","Salamandra Infantil y juvenil",15738,4.47,7170497,254,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-La-Piedra-Filosofal-Harry-Potter-Sorcerers-Stone-J-K-Rowling/9788498386943?ref=grid-view"
"9","Trono de Cristal #2. Corona de Medianoche / Crown of Midnight #2","Sarah J Mass","Alfaguara Juvenil",17880,4.41,353784,528,"Paperback","https://www.bookdepository.com/es/Trono-de-Cristal-2-Corona-de-Medianoche-Crown-Midnight-2-Sarah-J-Mass/9786073143691?ref=grid-view"
"10","Los juegos del hambre (vol.1)","Suzanne Collins","Editorial Molino",20991,4.32,6456823,396,"Paperback","https://www.bookdepository.com/es/Los-juegos-del-hambre-vol-1-Suzanne-Collins/9788427202122?ref=grid-view"
"11","El Mar de Los Monstruos / The Sea of Monsters","Rick Riordan","Salamandra Infantil y juvenil",13534,4.24,765583,253,"Paperback","https://www.bookdepository.com/es/El-Mar-de-Los-Monstruos-Sea-Monsters-Rick-Riordan/9788498386271?ref=grid-view"
"12","El Ultimo Heroe del Olimpo / The Last Olympian","Rick Riordan","Salamandra Infantil y juvenil",14884,4.5,683724,346,"Paperback","https://www.bookdepository.com/es/El-Ultimo-Heroe-del-Olimpo-Last-Olympian-Rick-Riordan/9788498386301?ref=grid-view"
"13","Divergente","Veronica Roth","Editorial Molino",23974,4.19,2950729,463,"Paperback","https://www.bookdepository.com/es/Divergente-Veronica-Roth/9788427201187?ref=grid-view"
"14","Los juegos del hambre (Vol.3) Sinsajo","Suzanne Collins","Editorial Molino",22084,4.04,2380121,422,"Paperback","https://www.bookdepository.com/es/Los-juegos-del-hambre-Vol-3-Sinsajo-Suzanne-Collins/9788427202146?ref=grid-view"
"15","Los juegos del hambre (Vol.2) En llamas","Suzanne Collins","Editorial Molino",21355,4.29,2555097,407,"Paperback","https://www.bookdepository.com/es/Los-juegos-del-hambre-Vol-2-En-llamas-Suzanne-Collins/9788427202139?ref=grid-view"
"16","La Batalla del Laberinto / The Battle of the Labyrinth","Rick Riordan","Salamandra Infantil y juvenil",14257,4.39,756922,313,"Paperback","https://www.bookdepository.com/es/La-Batalla-del-Laberinto-Battle-Labyrinth-Rick-Riordan/9788498386295?ref=grid-view"
"17","Insurgente","Veronica Roth","Editorial Molino",24193,4.02,1185764,463,"Paperback","https://www.bookdepository.com/es/Insurgente-Veronica-Roth/9788427203181?ref=grid-view"
"18","El nino con el pijama de rayas","John Boyne","Publicaciones y Ediciones Salamandra, S.A.",12772,4.15,531417,219,"Hardback","https://www.bookdepository.com/es/El-nino-con-el-pijama-de-rayas-John-Boyne/9788498382549?ref=grid-view"
"19","Leal","Veronica Roth","Editorial Molino",24265,3.62,840485,492,"Paperback","https://www.bookdepository.com/es/Leal-Veronica-Roth/9788427206861?ref=grid-view"
"20","Oxford Reading Tree Songbirds Phonics: Level 2: Mixed Pack of 6","Julia Donaldson","Oxford University Press",36752,0,0,16,"Paperback","https://www.bookdepository.com/es/Oxford-Reading-Tree-Songbirds-Phonics-Level-2-Mixed-Pack-6-Julia-Donaldson/9780198388081?ref=grid-view"
"21","Harry Potter Y El Prisionero de Azkaban / Harry Potter and the Prisoner of Azkaban","J K Rowling","Salamandra Infantil y juvenil",19711,4.57,2860398,359,"Paperback","https://www.bookdepository.com/es/Harry-Potter-Y-El-Prisionero-de-Azkaban-Harry-Potter-Prisoner-Azkaban-J-K-Rowling/9788498386967?ref=grid-view"
"22","Te Daria El Sol","Jandy Nelson","Alfaguara Juvenil",15054,4.14,259341,424,"Paperback","https://www.bookdepository.com/es/Te-Daria-El-Sol-Jandy-Nelson/9786071137210?ref=grid-view"
"23","Read Write Inc. Phonics: Get Writing! Green Book Pack of 10","Ruth Miskin","Oxford University Press",33951,0,0,32,"Paperback","https://www.bookdepository.com/es/Read-Write-Inc-Phonics-Get-Writing-Green-Book-Pack-10-Ruth-Miskin/9780198374046?ref=grid-view"
"24","El curioso incidente del perro a medianoche","Mark Haddon","Publicaciones y Ediciones Salamandra, S.A.",11701,3.88,1207197,272,"Paperback","https://www.bookdepository.com/es/El-curioso-incidente-del-perro-medianoche-Mark-Haddon/9788498383737?ref=grid-view"
"25","20 cuentos infantiles clasicos de siempre","Charles Perrault","Createspace Independent Publishing Platform",14816,4.58,33,130,"Paperback","https://www.bookdepository.com/es/20-cuentos-infantiles-clasicos-de-siempre-Charles-Perrault/9781512150872?ref=grid-view"
"26","La Seleccion","Kiera Cass","Roca Editorial",19179,4.13,917335,236,"Paperback","https://www.bookdepository.com/es/La-Seleccion-Kiera-Cass/9788499185286?ref=grid-view"
"27","Diario de Greg, un Renacuajo","Jeff Kinney","Lectorum Publications",17546,3.99,460436,217,"Hardback","https://www.bookdepository.com/es/Diario-de-Greg-un-Renacuajo-Jeff-Kinney/9781933032528?ref=grid-view"
"28","Las Aventuras del Capitan Calzoncillos (Captain Underpants #1), Volume 1","Dav Pilkey","Scholastic en Espanol",9489,3.96,41390,128,"Paperback","https://www.bookdepository.com/es/Las-Aventuras-del-Capitan-Calzoncillos-Captain-Underpants-1-1-Dav-Pilkey/9780439226486?ref=grid-view"
"29","Luna de Pluton","Revilla (Dross) Angel D","Planeta Publishing",17920,3.36,1017,472,"Paperback","https://www.bookdepository.com/es/Luna-de-Pluton-Revilla-Dross-Angel-D/9786070731747?ref=grid-view"
"30","Collins Easy Learning: Easy Learning Spanish Grammar: Trusted Support for Learning","Collins Dictionaries","HarperCollins Publishers",13820,4.08,26,320,"Paperback","https://www.bookdepository.com/es/Collins-Easy-Learning-Easy-Learning-Spanish-Grammar-Trusted-Support-for-Learning-Collins-Dictionaries/9780008142018?ref=grid-view"
"31","Oxford Reading Tree Songbirds Phonics: Level 3: Mixed Pack of 6","Julia Donaldson","Oxford University Press",36770,0,0,16,"Paperback","https://www.bookdepository.com/es/Oxford-Reading-Tree-Songbirds-Phonics-Level-3-Mixed-Pack-6-Julia-Donaldson/9780198388265?ref=grid-view"
"32","Biblia Para Ninos - Historias De Jesus","Sally Lloyd-Jones","Vida Publishers",16652,4.75,10718,352,"Hardback","https://www.bookdepository.com/es/Biblia-Para-Ninos-Historias-De-Jesus-Sally-Lloyd-Jones/9780829756067?ref=grid-view"
"33","Aristoteles Y Dante Descubren Los Secretos del Universo","Benjamin Alire Saenz","Planeta Publishing",16416,4.33,269337,328,"Paperback","https://www.bookdepository.com/es/Aristoteles-Y-Dante-Descubren-Los-Secretos-del-Universo-Benjamin-Alire-Saenz/9786070726309?ref=grid-view"
"34","Don Quijote de la Mancha / Don Quixote de la Mancha","Miguel de Cervantes","ALFAGUARA INFANTIL",10989,3.88,213429,224,"Paperback","https://www.bookdepository.com/es/Don-Quijote-de-la-Mancha-Don-Quixote-de-la-Mancha-Miguel-de-Cervantes/9786073144537?ref=grid-view"
"35","Coraline","Neil Gaiman","Publicaciones y Ediciones Salamandra, S.A.",12772,4.06,494182,160,"Paperback","https://www.bookdepository.com/es/Coraline-Neil-Gaiman/9788498382372?ref=grid-view"
"36","El Superzorro / Fantastic Mr. Fox","Roald Dahl","ALFAGUARA INFANTIL",10429,4.06,107183,128,"Paperback","https://www.bookdepository.com/es/El-Superzorro-Fantastic-Mr-Fox-Roald-Dahl/9786073140454?ref=grid-view"
"37","La Ley de Rodrick","Jeff Kinney","Lectorum Publications",17546,4.14,141133,217,"Hardback","https://www.bookdepository.com/es/La-Ley-de-Rodrick-Jeff-Kinney/9781933032627?ref=grid-view"
"38","Wigetta Y El Baculo Dorado","Vegetta777","Planeta Publishing",11284,4.09,346,256,"Paperback","https://www.bookdepository.com/es/Wigetta-Y-El-Baculo-Dorado-Vegetta777/9786070731556?ref=grid-view"
"39","Collins Easy Learning: Easy Learning Spanish Verbs and Practice: Trusted Support for Learning","Collins Dictionaries","HarperCollins Publishers",17540,5,1,320,"Paperback","https://www.bookdepository.com/es/Collins-Easy-Learning-Easy-Learning-Spanish-Verbs-Practice-Trusted-Support-for-Learning-Collins-Dictionaries/9780008142094?ref=grid-view"
"40","Giving Tree El Arbol Generoso","S. Silverstein","Lectorum Publications",16063,4.37,918629,NA,"Hardback","https://www.bookdepository.com/es/Giving-Tree-El-Arbol-Generoso-S-Silverstein/9789806053441?ref=grid-view"
"41","La Marca de Atenea / The Mark of Athena","Rick Riordan","Montena",22859,4.45,450147,512,"Hardback","https://www.bookdepository.com/es/La-Marca-de-Atenea-Mark-Athena-Rick-Riordan/9788490430101?ref=grid-view"
"42","El Hijo de Neptuno / The Son of Neptune","Rick Riordan","Montena",22710,4.42,422961,464,"Hardback","https://www.bookdepository.com/es/El-Hijo-de-Neptuno-Son-Neptune-Rick-Riordan/9788415580713?ref=grid-view"
"43","Cuentos En Verso Para Ninos Perversos / Revolting Rhymes","Roald Dahl","ALFAGUARA INFANTIL",9924,4.11,18738,72,"Paperback","https://www.bookdepository.com/es/Cuentos-En-Verso-Para-Ninos-Perversos-Revolting-Rhymes-Roald-Dahl/9786073137249?ref=grid-view"
"44","Las Brujas / The Witches","Roald Dahl","ALFAGUARA INFANTIL",11139,4.17,321708,248,"Paperback","https://www.bookdepository.com/es/Las-Brujas-Witches-Roald-Dahl/9786073136563?ref=grid-view"
"45","Collins Easy Learning Spanish Dictionary","","HarperCollins Publishers",21628,0,0,672,"Paperback","https://www.bookdepository.com/es/Collins-Easy-Learning-Spanish-Dictionary/9780007253500?ref=grid-view"
"46","Esperanza Renace (Esperanza Rising)","Pam Munoz Ryan","Scholastic en Espanol",9560,3.98,75768,272,"Paperback","https://www.bookdepository.com/es/Esperanza-Renace-Esperanza-Rising-Pam-Munoz-Ryan/9780439398855?ref=grid-view"
"47","El Capitan Calzoncillos Y El Ataque de Los Inodoros Parlantes (Captain Underpants #2), Volume 2","Dav Pilkey","Scholastic en Espanol",7817,4.06,44336,144,"Paperback","https://www.bookdepository.com/es/El-Capitan-Calzoncillos-Y-El-Ataque-de-Los-Inodoros-Parlantes-Captain-Underpants-2-2-Dav-Pilkey/9780439317368?ref=grid-view"
"48","Maze Runner","James Dashner","V&R Ediciones",16697,4.03,1078357,398,"Paperback","https://www.bookdepository.com/es/Maze-Runner-James-Dashner/9789876122672?ref=grid-view"
"49","Etapa 2 Intercambios","Sonia Eusebio Hermira","Editorial Edinumen",80316,0,0,80,"Mixed media product","https://www.bookdepository.com/es/Etapa-2-Intercambios-Sonia-Eusebio-Hermira/9788498481815?ref=grid-view"
"50","Abuelo y Los Tres Osos / Abuelo and the Three Bears: Spanish / English","J. Tello","Scholastic US",7972,3.58,36,32,"Paperback","https://www.bookdepository.com/es/Abuelo-y-Los-Tres-Osos-Abuelo-Three-Bears-Spanish-English-J-Tello/9780590043205?ref=grid-view"
"51","Diario de Greg 5. La Horrible Realidad","Jeff Kinney","Lectorum Publications",17558,4.19,104653,217,"Hardback","https://www.bookdepository.com/es/Diario-de-Greg-5-La-Horrible-Realidad-Jeff-Kinney/9781933032733?ref=grid-view"
"52","Ironside","Holly Black","Simon & Schuster Ltd",15239,4.03,36573,336,"Paperback","https://www.bookdepository.com/es/Ironside-Holly-Black/9781847380630?ref=grid-view"
"53","La Increible Historia De...La Abuela Ganster / Grandma Gangster","David Walliams","Montena",12443,4.29,15657,299,"Paperback","https://www.bookdepository.com/es/La-Increible-Historia-De-La-Abuela-Ganster-Grandma-Gangster-David-Walliams/9786073118569?ref=grid-view"
"54","El Capitan Calzoncillos Y El Perverso Plan del Profesor Pipicaca (Captain Underpants #4), Volume 4","Dav Pilkey","Scholastic US",7817,4.21,16659,160,"Paperback","https://www.bookdepository.com/es/El-Capitan-Calzoncillos-Y-El-Perverso-Plan-del-Profesor-Pipicaca-Captain-Underpants-4-4-Dav-Pilkey/9780439410373?ref=grid-view"
"55","James Y El Melocoton Gigante / James and the Giant Peach","Roald Dahl","ALFAGUARA INFANTIL",11003,4.01,384980,184,"Paperback","https://www.bookdepository.com/es/James-Y-El-Melocoton-Gigante-James-Giant-Peach-Roald-Dahl/9786073137218?ref=grid-view"
"56","Esto Es el Colmo","Jeff Kinney","Lectorum Publications",17546,4.14,124667,217,"Hardback","https://www.bookdepository.com/es/Esto-Es-el-Colmo-Jeff-Kinney/9781933032634?ref=grid-view"
