"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","Url"
"575","Quita las patas de la piedra de fuego! / The Stone of Fire","Geronimo Stilton","Lectorum Pubns",13507,4.14,1089,123,"Paperback","https://www.bookdepository.com/es/Quita-las-patas-de-la-piedra-de-fuego-Stone-Fire-Geronimo-Stilton/9788408006664?ref=grid-view"
"576","Monster High 3: Querer Es Poder / Monster High #3: Where There's a Wolf, There's a Way","Lisi Harrison","Alfaguara Juvenil",17447,3.98,4082,286,"Paperback","https://www.bookdepository.com/es/Monster-High-3-Querer-Es-Poder-Monster-High-3-Where-Theres-Wolf-Theres-Way-Lisi-Harrison/9786071117052?ref=grid-view"
"577","Mitos Griegos Contados Para Ninos","Fernando Martinez Ruppel","Ediciones Lea",10678,0,0,64,"Paperback","https://www.bookdepository.com/es/Mitos-Griegos-Contados-Para-Ninos-Fernando-Martinez-Ruppel/9789876344272?ref=grid-view"
"578","Vamos al cine","Noemie Camara","Editorial Edinumen",68437,0,0,240,"Paperback","https://www.bookdepository.com/es/Vamos-al-cine-Noemie-Camara/9788498485141?ref=grid-view"
"579","El Enano Saltarin","Margarita Ruiz","Combel Ediciones Editorial Esin, S.A.",7146,0,0,16,"Paperback","https://www.bookdepository.com/es/El-Enano-Saltarin-Margarita-Ruiz/9788498256505?ref=grid-view"
"580","Juan Sin Miedo","Margarita Ruiz","Combel Ediciones Editorial Esin, S.A.",7146,3.62,8,16,"Paperback","https://www.bookdepository.com/es/Juan-Sin-Miedo-Margarita-Ruiz/9788498256437?ref=grid-view"
"581","30 cuentos para ninos de toda la vida","Hans Christian Andersen","Createspace Independent Publishing Platform",17485,0,0,182,"Paperback","https://www.bookdepository.com/es/30-cuentos-para-ninos-de-toda-la-vida-Hans-Christian-Andersen/9781512071962?ref=grid-view"
"582","Quien Fue Rosa Parks?","Yona Zeldis McDonough","Loqueleo",11422,4.26,1296,105,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Rosa-Parks-Yona-Zeldis-McDonough/9781631134302?ref=grid-view"
"583","Genesis","Pedro Urvi","Createspace Independent Publishing Platform",27469,4.33,100,532,"Paperback","https://www.bookdepository.com/es/Genesis-Pedro-Urvi/9781517218690?ref=grid-view"
"584","Vega Jane Y El Guardian / The Keeper","David Baldacci","B DE BLOCK",19559,3.91,6552,416,"Paperback","https://www.bookdepository.com/es/Vega-Jane-Y-El-Guardian-Keeper-David-Baldacci/9788416075928?ref=grid-view"
"585","Heroes por casualidad","Laura Gallego","BRUNO",23974,3.41,75,172,"Hardback","https://www.bookdepository.com/es/Heroes-por-casualidad-Laura-Gallego/9788469604762?ref=grid-view"
"586","Las Aventuras de Tom Sawyer (Spanish Edition)","Mark Twain","Createspace Independent Publishing Platform",12145,3.91,767954,172,"Paperback","https://www.bookdepository.com/es/Las-Aventuras-de-Tom-Sawyer-Spanish-Edition-Mark-Twain/9781533312044?ref=grid-view"
"587","Antonio's Card / La Tarjeta de Antonio","Rigoberto Gonzalez","Children's Book Press (CA)",13406,3.92,109,32,"Paperback","https://www.bookdepository.com/es/Antonios-Card-La-Tarjeta-de-Antonio-Rigoberto-Gonzalez/9780892393879?ref=grid-view"
"588","Cartas al joven tentado","David Hormachea","Thomas Nelson Publishers",12851,3.91,11,176,"Paperback","https://www.bookdepository.com/es/Cartas-al-joven-tentado-David-Hormachea/9780881137149?ref=grid-view"
"589","Max Va a la Biblioteca","Adria F Klein","Capstone Press",5830,3.85,47,24,"Paperback","https://www.bookdepository.com/es/Max-Va-la-Biblioteca-Adria-F-Klein/9781404830363?ref=grid-view"
"590","Que Pasa En Mi Cuerpo? El Libro Para Muchachos","Lynda Madaras","William Morrow & Company",13228,3.91,232,235,"Paperback","https://www.bookdepository.com/es/Que-Pasa-En-Mi-Cuerpo-El-Libro-Para-Muchachos-Lynda-Madaras/9781557049407?ref=grid-view"
"591","The Chariot Race/La carrera de carros","Lynne Benton","b small publishing limited",11593,0,0,32,"Paperback","https://www.bookdepository.com/es/Chariot-Race-La-carrera-de-carros-Lynne-Benton/9781905710874?ref=grid-view"
"592","Temas de salud Answer Key","Marisa de Prada Segovia","Editorial Edinumen",19994,4,2,96,"Paperback","https://www.bookdepository.com/es/Temas-de-salud-Answer-Key-Marisa-de-Prada-Segovia/9788498480344?ref=grid-view"
"593","Paranormal","Kiersten White","Ediciones B",21390,3.89,94561,329,"Paperback","https://www.bookdepository.com/es/Paranormal-Kiersten-White/9788466647540?ref=grid-view"
"594","Fernando el Temerario","Jose Luis Velasco","Combel Ediciones Editorial Esin, S.A.",11855,3.33,97,160,"Paperback","https://www.bookdepository.com/es/Fernando-el-Temerario-Jose-Luis-Velasco/9788483430323?ref=grid-view"
"595","Colegio Z","Ignacio Mallen","Createspace Independent Publishing Platform",13923,3.12,8,216,"Paperback","https://www.bookdepository.com/es/Colegio-Z-Ignacio-Mallen/9781494295431?ref=grid-view"
"596","La Raiz del Mal. Trilogia del Malamor II / The Root of Evil (Malamor Trilogy #2","Jose Ignacio Valenzuela","Alfaguara Juvenil",17854,3.92,466,378,"Paperback","https://www.bookdepository.com/es/La-Raiz-del-Mal-Trilogia-del-Malamor-II-Root-Evil-Malamor-Trilogy-2-Jose-Ignacio-Valenzuela/9786071121684?ref=grid-view"
"597","Bajo La Misma Estrella","John Green","Nube De Tinta",NA,4.2,3608059,306,"Paperback","https://www.bookdepository.com/es/Bajo-La-Misma-Estrella-John-Green/9788415594017?ref=grid-view"
"598","Cool Salsa","Oscar Hijuelos","Square Fish",9982,3.85,409,123,"Paperback","https://www.bookdepository.com/es/Cool-Salsa-Oscar-Hijuelos/9781250016782?ref=grid-view"
"599","Las Hadas de la Moda #2: Claudia, El Hada de Los Accesorios (Claudia the Accessories Fairy), Volume 2","Daisy Meadows","Scholastic en Espanol",7133,4.11,228,80,"Paperback","https://www.bookdepository.com/es/Las-Hadas-de-la-Moda-2-Claudia-El-Hada-de-Los-Accesorios-Claudia-Accessories-Fairy-2-Daisy-Meadows/9780545723626?ref=grid-view"
"600","Buenas noches motores/Good Night Engines Spanish/English","Denise Dowling Mortensen","HOUGHTON MIFFLIN",8783,3.72,113,32,"Board book","https://www.bookdepository.com/es/Buenas-noches-motores-Good-Night-Engines-Spanish-English-Denise-Dowling-Mortensen/9780544578449?ref=grid-view"
"601","Quien Ha Robado El Gato de Oro?","Alessandro Gatti","La Galera",14783,4.43,7,144,"Paperback","https://www.bookdepository.com/es/Quien-Ha-Robado-El-Gato-de-Oro-Alessandro-Gatti/9788424652357?ref=grid-view"
"602","Itty Bitty Comics: Grimmiss Island","Art Baltazar","DARK HORSE COMICS",12851,3.47,36,104,"Paperback","https://www.bookdepository.com/es/Itty-Bitty-Comics-Grimmiss-Island-Art-Baltazar/9781616557683?ref=grid-view"
"603","La Cueva de Cristal / The Crystal Cave","Mary Stewart","B de Bolsillo",19942,4.13,42044,624,"Paperback","https://www.bookdepository.com/es/La-Cueva-de-Cristal-Crystal-Cave-Mary-Stewart/9788490700389?ref=grid-view"
"604","La maravillosa historia de Carapuntada 04. La gran telaraña","Guy Bass","Rba Molino",20502,0,0,208,"Paperback","https://www.bookdepository.com/es/La-maravillosa-historia-de-Carapuntada-04-La-gran-telaraña-Guy-Bass/9788427208629?ref=grid-view"
"605","Stink: Superheroe del Sistema Solar","Megan McDonald","ALFAGUARA INFANTIL",9964,4.16,1618,128,"Paperback","https://www.bookdepository.com/es/Stink-Superheroe-del-Sistema-Solar-Megan-McDonald/9781941999332?ref=grid-view"
"606","Al Final de La Calle 118","Clara Cortés","Plataforma Editorial",30005,3.8,1140,352,"Paperback","https://www.bookdepository.com/es/Al-Final-de-La-Calle-118-Clara-Cortés/9788416429189?ref=grid-view"
"607","Quien Fue Harriet Beecher Stowe?","Dana Meachen Rau","Loqueleo",NA,4.11,158,103,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Harriet-Beecher-Stowe-Dana-Meachen-Rau/9781631134210?ref=grid-view"
"608","Quien Fue Maria Antonieta?","Dana Meachen Rau","Loqueleo",11422,4.1,455,105,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Maria-Antonieta-Dana-Meachen-Rau/9781631134234?ref=grid-view"
"609","Shadows","Jennifer L Armentrout","Plataforma Editorial",20516,4.13,35502,250,"Paperback","https://www.bookdepository.com/es/Shadows-Jennifer-L-Armentrout/9788416429530?ref=grid-view"
"610","From the Bellybutton of the Mo","F. X. Alarcon","Children's Book Press,U.S.",11393,3.82,93,31,"Paperback","https://www.bookdepository.com/es/From-Bellybutton-Mo-F-X-Alarcon/9780892392018?ref=grid-view"
"611","Nate El Grande Sobre Ruedas","Lincoln Peirce","Lectorum Publications",17937,4.36,16668,216,"Hardback","https://www.bookdepository.com/es/Nate-El-Grande-Sobre-Ruedas-Lincoln-Peirce/9781933032818?ref=grid-view"
"612","El Lenador Honrado","Margarita Ruiz","Combel Ediciones Editorial Esin, S.A.",7166,4.67,3,16,"Paperback","https://www.bookdepository.com/es/El-Lenador-Honrado-Margarita-Ruiz/9788498256567?ref=grid-view"
"613","Perla y Phuong (Una aventura asiatica) Book + CD","Pedro Tena Tena","Editorial Edinumen",14612,0,0,58,"Mixed media product","https://www.bookdepository.com/es/Perla-y-Phuong-Una-aventura-asiatica-Book-CD-Pedro-Tena-Tena/9788498483338?ref=grid-view"
"614","?Quien fue Steve Jobs?","Meg Belviso","Penguin Putnam Inc",9277,4.21,1653,112,"Paperback","https://www.bookdepository.com/es/Quien-fue-Steve-Jobs-Meg-Belviso/9780448462660?ref=grid-view"
"615","Comprender El Calentamiento Global Con Max Axiom, Supercientifico","Agnieszka Biskup","Capstone Press",9356,3.58,26,32,"Paperback","https://www.bookdepository.com/es/Comprender-El-Calentamiento-Global-Con-Max-Axiom-Supercientifico-Agnieszka-Biskup/9781429693967?ref=grid-view"
"616","Cruzar La Noche","Alicia Barberis","Ediciones Colihue SRL",15183,3.73,362,224,"Paperback","https://www.bookdepository.com/es/Cruzar-La-Noche-Alicia-Barberis/9789505811281?ref=grid-view"
"617","La Oracion de Jabes Para Jovenes","Dr Bruce Wilkinson","Spanish House",7133,4.11,480,121,"Paperback","https://www.bookdepository.com/es/La-Oracion-de-Jabes-Para-Jovenes-Dr-Bruce-Wilkinson/9780789920157?ref=grid-view"
"618","Gracias, Sr. Falker","Patricia Polacco","Lectorum Publications",10700,4.54,16622,32,"Paperback","https://www.bookdepository.com/es/Gracias-Sr-Falker-Patricia-Polacco/9781933032023?ref=grid-view"
"619","La Historia de Johnny Appleseed","Aliki","Lectorum Publications",9992,3.64,135,1,"Paperback","https://www.bookdepository.com/es/La-Historia-de-Johnny-Appleseed-Aliki/9781880507186?ref=grid-view"
"620","La transformacion/ Transformation","Mary Wollstonecraft Shelley","Libros del Zorro Rojo",22379,3.51,581,34,"Hardback","https://www.bookdepository.com/es/La-transformacion-Transformation-Mary-Wollstonecraft-Shelley/9788496509443?ref=grid-view"
"621","El Lugar Mas Maravilloso","Javier Sobrino","Thule Ediciones",19951,0,0,32,"Hardback","https://www.bookdepository.com/es/El-Lugar-Mas-Maravilloso-Javier-Sobrino/9788492595297?ref=grid-view"
"622","Una Cancion Macabra","William Alexander","Editorial Oceano de Mexico",13929,3.78,431,200,"Paperback","https://www.bookdepository.com/es/Una-Cancion-Macabra-William-Alexander/9786077356905?ref=grid-view"
"623","Quien Fue Marie Curie?","Megan Stine","Loqueleo",11422,4.31,847,105,"Paperback","https://www.bookdepository.com/es/Quien-Fue-Marie-Curie-Megan-Stine/9781631134241?ref=grid-view"
